Name,Campus,enroll,V_crime,Murder,Rape,Robbery,assault,crime,Burglary,theft,Motor_theft,Arson
Florida A&M University,,10986,1,0,0,1,0,65,29,34,2,0
Florida Atlantic University,,37588,8,0,5,0,3,116,6,106,4,0
Florida Gulf Coast University,,16878,3,0,3,0,0,21,0,16,5,0
Florida International University,,70581,15,0,10,2,3,192,9,180,3,0
Florida Polytechnic University,,1519,0,0,0,0,0,4,0,4,0,0
Florida SouthWestern State College,,22279,2,0,2,0,0,7,0,7,0,0
Florida State University:,Panama City,,0,0,0,0,0,2,1,1,0,0
,Tallahassee,46946,17,0,5,10,2,350,29,296,25,1
New College of Florida,,896,0,0,0,0,0,12,0,12,0,0
Northwest Florida State College,,7962,0,0,0,0,0,10,0,10,0,0
Pensacola State College,,13734,2,0,0,0,2,24,1,23,0,0
Santa Fe College,,19571,3,0,1,0,2,17,2,15,0,0
Tallahassee Community College,,16944,0,0,0,0,0,43,7,35,1,0
University of Central Florida,,78073,15,0,9,2,4,246,34,203,9,2
University of Florida,,59603,16,0,10,1,5,302,22,258,22,1
University of North Florida,,19547,3,0,3,0,0,72,10,62,0,0
University of South Florida:,St. Petersburg,5864,1,0,1,0,0,29,3,25,1,0
,Tampa,51282,12,0,7,1,4,237,11,220,6,0
University of West Florida,,16374,1,0,1,0,0,52,0,52,0,0