Year,SP,CAR,DRIVER,QUALIFY_SPEED,RACE_TIME,RACE_SPEED
1911,28,32,RHarroun,,6:42:08,74.6
1912,7,8,JDawson,86.1,6:21:06,78.7
1913,7,16,JGoux,86.0,6:35:05,75.9
1914,15,16,RThomas,94.5,6:03:45,82.5
1915,2,2,RDePalma,98.6,5:33:56,89.8
1916,4,17,DResta,94.4,3:34:17,84.0
1919,2,3,HWilcox,100.0,5:40:43,88.1
1920,6,4,Gaston,91.6,5:38:32,88.6
1921,20,2,TMilton,93.1,5:34:45,89.6
1922,1,35,JMurphy,100.5,5:17:31,94.5
1923,1,1,TMilton,108.2,5:29:50,91.0
1924,21,15,LCorum,93.3,5:05:24,98.2
1925,2,12,PDePaolo,113.1,4:56:39,101.1
1926,20,15,FLockhart,95.8,4:10:15,95.9
1927,22,32,GSouders,111.6,5:07:33,97.5
1928,13,14,LMeyer,111.4,5:01:34,99.5
1929,6,2,RKeech,114.9,5:07:25,97.6
1930,1,4,BArnold,113.3,4:58:40,100.4
1931,13,23,LSchneider,107.2,5:10:28,96.6
1932,27,34,FFrame,113.9,4:48:04,104.1
1933,6,36,LMeyer,117.0,4:48:01,104.2
1934,10,7,BCummings,116.1,4:46:05,104.9
1935,22,5,KPetillo,115.1,4:42:23,106.2
1936,28,8,LMeyer,114.2,4:35:03,109.1
1937,2,6,WShaw,122.8,4:24:08,113.6
1938,1,23,FRoberts,125.7,4:15:58,117.2
1939,3,2,WShaw,129.0,4:20:47,115.0
1940,2,1,WShaw,127.1,4:22:31,114.3
1941,17,16,FDavis,121.1,4:20:36,115.1
1946,15,16,GRobson,125.5,4:21:17,114.8
1947,3,27,MRose,120.0,4:17:52,116.3
1948,3,3,MRose,129.1,4:10:23,119.8
1949,4,7,BHolland,128.7,4:07:16,121.3
1950,5,1,JParsons,132.0,2:46:56,124.0
1951,2,99,LWallard,135.0,3:57:38,126.2
1952,7,98,TRuttman,135.4,3:52:42,128.9
1953,1,14,BVukovich,138.4,3:53:02,128.7
1954,19,14,BVukovich,138.5,3:49:17,130.8
1955,14,6,BSweikert,145.6,3:53:29,128.5
1957,13,9,SHanks,142.8,3:41:14,135.6
1958,7,1,JBryan,144.2,3:44:14,133.8
1959,6,5,RWard,144.0,3:40:49,135.9
1960,2,4,JRathmann,146.4,3:36:11,138.8
1961,7,1,A.J.Foyt,145.9,3:35:37,139.1
1962,2,3,RWard,151.2,3:29:35,143.1
1965,2,82,JClark,160.7,3:19:05,150.7
1966,15,24,GHill,159.2,3:27:53,144.3
1967,4,14,A.J.Foyt,166.3,3:18:24,151.2
1968,3,3,BUnser,169.5,3:16:14,152.9
1969,2,2,MAndretti,169.9,3:11:15,156.9
1970,1,2,AUnser,170.2,3:12:37,155.7
1971,5,1,AUnser,174.5,3:10:12,157.7
1972,3,66,MDonohue,191.4,3:04:06,163.0
1973,11,20,GJohncock,192.6,2:05:27,159.0
1974,25,3,JRutherford,190.4,3:09:10,158.6
1975,3,48,BUnser,191.1,2:54:55,149.2
1976,1,2,JRutherford,189.0,1:42:52,148.7
1977,4,14,A.J.Foyt,194.6,3:05:57,161.3
1978,5,2,AUnser,196.5,3:05:55,161.4
1979,1,9,RMears,193.7,3:08:48,158.9
1980,1,4,JRutherford,192.5,3:30:00,142.9
1981,1,3,BUnser,200.5,3:35:42,139.1
1982,5,20,GJohncock,201.9,3:05:09,162.0
1983,4,5,TSneva,203.7,3:05:03,162.1
1984,3,6,RMears,207.8,3:03:22,163.6
1985,8,5,DSullivan,210.3,3:16:06,153.0
1986,4,3,BRahal,213.6,2:55:43,170.7
1987,20,25,AUnser,207.4,3:04:59,162.2
1988,1,5,RMears,219.2,3:27:10,144.8
1989,3,20,EFittipaldi,222.3,2:59:01,167.6
1990,3,30,ALuyendyk,223.3,2:41:18,186.0
1991,1,3,RMears,224.1,2:50:01,176.5
1992,12,3,AUnser,223.0,3:43:05,134.5
1993,9,4,EFittipaldi,220.2,3:10:50,157.2
1994,1,31,AUnser,228.0,3:06:29,160.9
1995,5,27,JVilleneuve,228.4,3:15:18,153.6
1996,5,91,BLazier,231.5,3:22:46,148.0
1997,1,5,ALuyendyk,218.3,3:25:43,145.8
1998,17,51,ECheever,217.3,3:26:41,145.2
1999,8,14,KBrack,222.7,3:15:51,153.2
2000,2,9,JPablo,223.4,2:58:59,167.6
2001,11,68,HCastroneves,224.1,3:31:54,141.6
2002,13,3,HCastroneves,229.1,3:00:11,166.5
2003,10,6,GFerran,228.6,3:11:57,156.3
2004,1,15,BRice,222.0,3:14:55,138.5
2005,16,26,DWheldon,224.3,3:10:21,157.6
2006,1,6,SHornish,229.0,3:10:59,157.1
2007,3,27,DFranchitti,225.2,2:44:04,151.8
2008,1,9,SDixon,226.4,3:28:58,143.6
2009,1,3,HCastroneves,224.9,3:19:35,150.3
2010,3,9,DFranchitti,227.0,3:05:37,161.6
2011,6,98,DWheldon,226.5,2:56:12,170.3
2012,16,50,DFranchitti,223.6,2:58:51,167.7
2013,12,11,TKanaan,226.9,2:40:03,187.4
2014,19,28,RHunter-Reay,229.7,2:40:48,186.6
2015,15,2,JPablo,224.7,3:05:57,161.3
2016,11,98,ARossi,228.5,3:00:02,166.6
2017,4,26,TSato,231.4,3:13:03,155.4
2018,3,12,WPower,228.6,2:59:43,166.9
2019,1,22,SPagenaud,230.0,2:50:39,175.8
2020,3,30,TSato,230.7,3:10:05,157.8
2021,8,6,HCastroneves,230.4,2:37:19,190.7