Year,Time
1970,2:31:38
1971,2:22:54
1972,2:27:52
1973,2:21:54
1974,2:26:30
1975,2:19:27
1976,2:10:09
1977,2:11:28
1978,2:12:12
1979,2:11:42
1980,2:09:41
1981,2:08:13
1982,2:09:29
1983,2:08:59
1984,2:14:53
1985,2:11:34
1986,2:11:06
1987,2:11:01
1988,2:08:20
1989,2:08:01
1990,2:12:39
1991,2:09:28
1992,2:09:29
1993,2:10:04
1994,2:11:21
1995,2:11:00
1996,2:09:54
1997,2:08:12
1998,2:08:43
1999,2:09:14
2000,2:10:09
2001,2:07:43
2002,2:08:07
2003,2:10:30
2004,2:09:28
2005,2:09:30
2006,2:09:58
2007,2:09:04
2008,2:08:43
2009,2:09:15
2010,2:08:14
2011,2:05:06
2012,.
2013,2:08:24
2014,2:10:59
2015,2:10:34
2016,2:07:51
2017,2:10:53
2018,2:05:59
2019,2:08:13
2020,.